time_s,output_voltage_V,duty_cycle,inductor_current_A,bound_hit
0.0005,200.0,0.5,8.0,False
0.001,200.0,0.5,8.0,False
0.0015,200.0,0.5,8.0,False
0.002,200.0,0.5,8.0,False
0.0025,200.0,0.5,8.0,False
0.003,200.0,0.5,8.0,False
0.0035,200.0,0.5,8.0,False
0.004,200.0,0.5,8.0,False
0.0045000000000000005,200.0,0.5,8.0,False
0.005,200.0,0.5,8.0,False
0.0055,200.0,0.5,8.0,False
0.006,200.0,0.5,8.0,False
0.006500000000000001,200.0,0.5,8.0,False
0.007,200.0,0.5,8.0,False
0.0075,200.0,0.5,8.0,False
0.008,200.0,0.5,8.0,False
0.0085,200.0,0.5,8.0,False
0.009000000000000001,200.0,0.5,8.0,False
0.0095,200.0,0.5,8.0,False
0.01,200.0,0.5,8.0,False
0.0105,200.0,0.5,8.0,False
0.011,200.0,0.5,8.0,False
0.0115,200.0,0.5,8.0,False
0.012,200.0,0.5,8.0,False
0.0125,200.0,0.5,8.0,False
0.013000000000000001,200.0,0.5,8.0,False
0.0135,200.0,0.5,8.0,False
0.014,200.0,0.5,8.0,False
0.0145,200.0,0.5,8.0,False
0.015,200.0,0.5,8.0,False
0.0155,200.0,0.5,8.0,False
0.016,200.0,0.5,8.0,False
0.0165,200.0,0.5,8.0,False
0.017,200.0,0.5,8.0,False
0.0175,200.0,0.5,8.0,False
0.018000000000000002,200.0,0.5,8.0,False
0.0185,200.0,0.5,8.0,False
0.019,200.0,0.5,8.0,False
0.0195,200.0,0.5,8.0,False
0.02,200.0,0.5,8.0,False
0.0205,200.0,0.5,8.0,False
0.021,200.0,0.5,8.0,False
0.021500000000000002,200.0,0.5,8.0,False
0.022,200.0,0.5,8.0,False
0.0225,200.0,0.5,8.0,False
0.023,200.0,0.5,8.0,False
0.0235,200.0,0.5,8.0,False
0.024,200.0,0.5,8.0,False
0.0245,200.0,0.5,8.0,False
0.025,200.0,0.5,8.0,False
0.025500000000000002,200.0,0.5,8.0,False
0.026000000000000002,200.0,0.5,8.0,False
0.0265,200.0,0.5,8.0,False
0.027,200.0,0.5,8.0,False
0.0275,200.0,0.5,8.0,False
0.028,200.0,0.5,8.0,False
0.0285,200.0,0.5,8.0,False
0.029,200.0,0.5,8.0,False
0.029500000000000002,200.0,0.5,8.0,False
0.03,200.0,0.5,8.0,False
0.0305,200.0,0.5,8.0,False
0.031,200.0,0.5,8.0,False
0.0315,200.0,0.5,8.0,False
0.032,200.0,0.5,8.0,False
0.0325,200.0,0.5,8.0,False
0.033,200.0,0.5,8.0,False
0.0335,200.0,0.5,8.0,False
0.034,200.0,0.5,8.0,False
0.0345,200.0,0.5,8.0,False
0.035,200.0,0.5,8.0,False
0.035500000000000004,200.0,0.5,8.0,False
0.036000000000000004,200.0,0.5,8.0,False
0.0365,200.0,0.5,8.0,False
0.037,200.0,0.5,8.0,False
0.0375,200.0,0.5,8.0,False
0.038,200.0,0.5,8.0,False
0.0385,200.0,0.5,8.0,False
0.039,200.0,0.5,8.0,False
0.0395,200.0,0.5,8.0,False
0.04,200.0,0.5,8.0,False
0.0405,200.0,0.5,8.0,False
0.041,200.0,0.5,8.0,False
0.0415,200.0,0.5,8.0,False
0.042,200.0,0.5,8.0,False
0.0425,200.0,0.5,8.0,False
0.043000000000000003,200.0,0.5,8.0,False
0.043500000000000004,200.0,0.5,8.0,False
0.044,200.0,0.5,8.0,False
0.0445,200.0,0.5,8.0,False
0.045,200.0,0.5,8.0,False
0.0455,200.0,0.5,8.0,False
0.046,200.0,0.5,8.0,False
0.0465,200.0,0.5,8.0,False
0.047,200.0,0.5,8.0,False
0.0475,200.0,0.5,8.0,False
0.048,200.0,0.5,8.0,False
0.0485,200.0,0.5,8.0,False
0.049,200.0,0.5,8.0,False
0.0495,200.0,0.5,8.0,False
0.05,200.0,0.5,8.0,False
0.0505,200.0,0.5,8.0,False
0.051000000000000004,200.0,0.5,8.0,False
0.051500000000000004,200.0,0.5,8.0,False
0.052000000000000005,200.0,0.5,8.0,False
0.0525,200.0,0.5,8.0,False
0.053,200.0,0.5,8.0,False
0.0535,200.0,0.5,8.0,False
0.054,200.0,0.5,8.0,False
0.0545,200.0,0.5,8.0,False
0.055,200.0,0.5,8.0,False
0.0555,200.0,0.5,8.0,False
0.056,200.0,0.5,8.0,False
0.0565,200.0,0.5,8.0,False
0.057,200.0,0.5,8.0,False
0.0575,200.0,0.5,8.0,False
0.058,200.0,0.5,8.0,False
0.0585,200.0,0.5,8.0,False
0.059000000000000004,200.0,0.5,8.0,False
0.059500000000000004,200.0,0.5,8.0,False
0.06,200.0,0.5,8.0,False
0.0605,200.0,0.5,8.0,False
0.061,200.0,0.5,8.0,False
0.0615,200.0,0.5,8.0,False
0.062,200.0,0.5,8.0,False
0.0625,200.0,0.5,8.0,False
0.063,200.0,0.5,8.0,False
0.0635,200.0,0.5,8.0,False
0.064,200.0,0.5,8.0,False
0.0645,200.0,0.5,8.0,False
0.065,200.0,0.5,8.0,False
0.0655,200.0,0.5,8.0,False
0.066,200.0,0.5,8.0,False
0.0665,200.0,0.5,8.0,False
0.067,200.0,0.5,8.0,False
0.0675,200.0,0.5,8.0,False
0.068,200.0,0.5,8.0,False
0.0685,200.0,0.5,8.0,False
0.069,200.0,0.5,8.0,False
0.0695,200.0,0.5,8.0,False
0.07,200.0,0.5,8.0,False
0.07050000000000001,200.0,0.5,8.0,False
0.07100000000000001,200.0,0.5,8.0,False
